title,site,type,directorAndActor,quote,star,date,url
肖申克的救赎 / 月黑高飞(港)  /  刺激1995(台),美国,犯罪 剧情,导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...,希望让人自由。,9.6,1994,https://movie.douban.com/subject/1292052/
控方证人 / 雄才伟略  /  情妇,美国,剧情 犯罪 悬疑,导演:比利·怀尔德BillyWilder   主演:查尔斯·劳顿CharlesLaughton/...,比利·怀德满分作品。,9.6,1957,https://movie.douban.com/subject/1296141/
霸王别姬 / 再见，我的妾  /  Farewell My Concubine,中国大陆 香港,剧情 爱情 同性,导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...,风华绝代。,9.5,1993,https://movie.douban.com/subject/1291546/
美丽人生 / 一个快乐的传说(港)  /  Life Is Beautiful,意大利,剧情 喜剧 爱情 战争,导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...,最美的谎言。,9.5,1997,https://movie.douban.com/subject/1292063/
这个杀手不太冷 / 杀手莱昂  /  终极追杀令(台),法国,剧情 动作 犯罪,导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...,怪蜀黍和小萝莉不得不说的故事。,9.4,1994,https://movie.douban.com/subject/1295644/
阿甘正传 / 福雷斯特·冈普,美国,剧情 爱情,导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise,一部美国近现代史。,9.4,1994,https://movie.douban.com/subject/1292720/
辛德勒的名单 / 舒特拉的名单(港)  /  辛德勒名单,美国,剧情 历史 战争,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...,拯救一个人，就是拯救整个世界。,9.4,1993,https://movie.douban.com/subject/1295124/
十二怒汉 / 12怒汉  /  十二怒汉,美国,剧情,导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,1957年的理想主义。 ,9.4,1957,https://movie.douban.com/subject/1293182/
盗梦空间 / 潜行凶间(港)  /  全面启动(台),美国 英国,剧情 动作 科幻 悬疑 冒险,导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...,诺兰给了我们一场无法盗取的梦。,9.3,2010,https://movie.douban.com/subject/3541415/
机器人总动员 / 瓦力(台)  /  太空奇兵·威E(港),美国,喜剧 科幻 动画,导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...,小瓦力，大人生。,9.3,2008,https://movie.douban.com/subject/2131459/
海豚湾 / 血色海湾(台)  /  海湾,美国,纪录片,导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char...,海豚的微笑，是世界上最高明的伪装。,9.3,2009,https://movie.douban.com/subject/3442220/
千与千寻 / 神隐少女(台)  /  Spirited Away,日本,剧情 动画 奇幻,导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...,最好的宫崎骏，最好的久石让。 ,9.2,2001,https://movie.douban.com/subject/1291561/
泰坦尼克号 / 铁达尼号(港 / 台),美国,剧情 爱情 灾难,导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...,失去的才是永恒的。 ,9.2,1997,https://movie.douban.com/subject/1292722/
海上钢琴师 / 声光伴我飞(港)  /  一九零零的传奇,意大利,剧情 音乐,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,1998,https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞 / 三个傻瓜(台)  /  作死不离3兄弟(港),印度,剧情 喜剧 爱情 歌舞,导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...,英俊版憨豆，高情商版谢耳朵。,9.2,2009,https://movie.douban.com/subject/3793023/
忠犬八公的故事 / 忠犬小八(台)  /  秋田犬八千(港),美国 英国,剧情,导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...,永远都不能忘记你所爱的人。,9.2,2009,https://movie.douban.com/subject/3011091/
放牛班的春天 / 歌声伴我心(港)  /  唱诗班男孩,法国 瑞士 德国,剧情 音乐,导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:杰拉尔·朱诺Géra...,天籁一般的童声，是最接近上帝的存在。 ,9.2,2004,https://movie.douban.com/subject/1291549/
大话西游之大圣娶亲 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,香港 中国大陆,喜剧 爱情 奇幻 冒险,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...,一生所爱。,9.2,1995,https://movie.douban.com/subject/1292213/
教父 / Mario Puzo's The Godfather,美国,剧情 犯罪,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...,千万不要记恨你的对手，这样会让你失去理智。,9.2,1972,https://movie.douban.com/subject/1291841/
乱世佳人 / 飘,美国,剧情 历史 爱情 战争,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:托...,Tomorrow is another day.,9.2,1939,https://movie.douban.com/subject/1300267/
熔炉 / 无声呐喊(港)  /  漩涡,韩国,剧情,导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJeong...,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.2,2011,https://movie.douban.com/subject/5912992/
星际穿越 / 星际启示录(港)  /  星际效应(台),美国 英国 加拿大 冰岛,剧情 科幻 冒险,导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...,爱是一种力量，让我们超越时空感知它的存在。,9.2,2014,https://movie.douban.com/subject/1889243/
鬼子来了 / Devils on the Doorstep,中国大陆,剧情 战争,导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...,对敌人的仁慈，就是对自己残忍。,9.2,2000,https://movie.douban.com/subject/1291858/
疯狂动物城 / 优兽大都会(港)  /  动物方城市(台),美国,喜剧 动画 冒险,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,2016,https://movie.douban.com/subject/25662329/
小鞋子 / 天堂的孩子  /  小童鞋,伊朗,剧情 家庭 儿童,导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕...,奔跑的孩子是天使。,9.2,1997,https://movie.douban.com/subject/1303021/
大闹天宫 / 大闹天宫 上下集  /  The Monkey King,中国大陆,动画 奇幻,导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...,经典之作，历久弥新。,9.2,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆),https://movie.douban.com/subject/1418019/
"摩登时代 / The Masses  /  Temps modernes, Les",美国,喜剧 剧情 爱情,导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...,大时代中的人生，小人物的悲喜。,9.2,1936,https://movie.douban.com/subject/1294371/
